Neutrino_Energy_MeV,Neutrino_Flux_per_cm2_s_MeV
0.3009395962914143, 8556.932475706533
0.3178856446127901, 9071.91172367196
0.3400178482908739, 10196.713967458056
0.36942915321487124, 12150.729952507865
0.4051715265018005, 14479.197793519737
0.44926717786541703, 17253.87442263066
0.49196332424004824, 20560.267691428704
0.543798594733714, 23564.076446980525
0.6048724192813323, 28632.072948751487
0.6644338434976176, 34790.05863807863
0.7207762902417318, 39872.80776915087
0.7868085917460504, 47513.71090700379
0.8521942822954173, 55526.56987991491
0.9302650922627009, 64890.74214101467
1.001281961353087, 72936.37293906412
1.082793660473036, 83592.21258671107
1.1672814452119928, 95804.84638274896
1.2702326464535463, 107683.43487206515
1.369347398547218, 125843.50195327745
1.4901202937009048, 141446.50357790783
1.5988641414083915, 158984.07993956775
1.7048372526656654, 178696.09382255987
1.8206795539613723, 196977.32877655237
1.971975699242599, 217128.79796059427
2.159380135139988, 253746.06913988228
2.35719887188571, 285207.3704194892
2.5771758341510655, 333305.62234679516
2.782608879350261, 360316.0328052605
2.999712134044939, 374631.30135488836
3.259181426507121, 437810.28121757036
3.491548401185465, 473289.536908971
3.7404822384760132, 511643.9593984496
4.019717898332293, 531971.4497506245
4.306308168974857, 575081.3352328433
4.6860974443550365, 609691.2792025914
5.03593118438417, 646384.1428363998
5.43734534346534, 672064.8279807218
5.944725226039698, 698765.8005141955
6.338714309497365, 726527.5962072018
6.779989471489132, 726527.5962072018
7.263343407967684, 726527.5962072018
7.55315719138477, 698765.8005141955
7.928641322620483, 672064.8279807218
8.193554384676688, 659099.421760335
8.440836528482057, 621684.7582482485
8.777633321931361, 597929.1771333016
9.01427194873481, 553106.5463618565
9.359268317899906, 511643.9593984496
9.778483701569789, 464158.88336127537
10.248448057269785, 382000.82231724093
10.74101159172144, 320569.4748979858
11.082445054159841, 274309.1350474798
11.452590541711178, 217128.79796059427
11.872162620391105, 162111.5188523272
12.307119925580649, 123415.74192911142
12.65850654620485, 86913.3109084255
12.958906935227493, 58868.30843868475
13.245673975933347, 39103.585622192964
13.623672165061532, 21797.639988540825
13.881518936446684, 12633.475505043818
14.188396449950172, 5795.7996882622265
14.501926404358572, 2275.212665281797
14.845567708186888, 859.0336024683121
15.197110547955905, 246.9192740963307
15.363649755979152, 93.22730871822135
15.580744062612231, 36.59753010018705
15.776034086103342, 12.056417372900915
15.9240656217122, 5.017733762379835
16.09849816226663, 1.752487069783962
16.148419007702948, 0.9768946152611537
