Neutrino_Energy_MeV,Neutrino_Flux_per_cm2_s_MeV
0.3020560838007952, 159604703.3365441
0.31244332738226305, 171199518.17867783
0.3256248673581441, 183636662.40342382
0.3400004829687246, 196977328.77655315
0.3550102666149811, 206405284.52016944
0.40565567240918615, 248850825.81475675
0.4243601484355313, 260761610.60971817
0.371379521312123, 216284491.9385648
0.38850407907647144, 231996927.63016653
0.4414328512168165, 273242483.10267276
0.46352546930345073, 293092750.2461156
0.4848976174582628, 300024941.9613797
0.5082115428035149, 337224237.78669053
0.5656384952975383, 361722592.25668263
0.6201653746336308, 379035775.5171315
0.6536529070568016, 397177622.2921826
0.6825083739200252, 406571615.90147746
0.5339787616172555, 342520816.98460734
0.5920894095644793, 370278008.09402573
0.716662644417083, 400284585.5767059
0.7499409360830618, 408158742.47082067
0.7823118682340802, 416187795.029235
0.8212023195720053, 400284585.5767059
0.8593339447562628, 400284585.5767059
0.9034662488641562, 384989063.5045157
0.9439349013388614, 356129085.9278399
0.9785309235178258, 342520816.98460734
1.017572857278274, 316844391.2499708
1.049919291408522, 271121606.12323755
1.0918033194862338, 227521266.52817968
1.1229861281438192, 187249052.04663792
1.146053259891368, 148216579.01808465
1.1641088577244656, 106432131.07112882
1.1787520455376737, 74952909.19811979
1.1898383077836552, 45167113.30087609
1.1935293068295199, 25672931.693913188
1.199003591712504, 3320095.6237332704
1.1998298931094267, 0.9768946152611537
1.2021416559757558, 469.6159175213861
