Neutrino_Energy_MeV,Neutrino_Flux_per_cm2_s_MeV
0.30109230954591615, 51765926.72258739
0.3135980091650556, 53822574.42983695
0.3281607046473438, 57061761.95201616
0.34664037305596934, 62899379.63474751
0.37019472393031766, 70698106.68378904
0.39596795228803017, 76427337.61220929
0.4295460900167528, 91073255.88212001
0.4645137665747256, 102365187.03019539
0.5078628146844445, 119628368.36776838
0.5578698618602815, 137105803.27807882
0.6089750920444691, 151132206.1482573
0.6523926504049724, 163379653.07944122
0.7043972778786194, 180093962.6133297
0.7557991921751481, 190932502.43972567
0.8021150485144068, 198518204.43027344
0.8714915018547249, 210465564.76239917
0.9409570361217527, 214605716.38817212
1.0287614039404598, 223131949.42438567
1.1478744154968068, 218827310.5791644
1.2374248462319088, 202423334.79088715
1.3091432589542034, 190932502.43972567
1.3763714670488292, 173212280.73129794
1.4290499065053, 163379653.07944122
1.4860618202006255, 142552983.57243705
1.545344715097239, 119628368.36776838
1.5944588236660402, 92864794.03151062
1.6374275510986385, 72088837.18954404
1.6710579730872233, 54881339.645327374
1.6947225998887436, 36455220.487896
1.7133449621469667, 22840943.73523943
1.7213343414251951, 10894945.003118327
1.7291038740616087, 404990.66087884957
1.7332181521441612, 0.9768946152611537
1.7340484795898263, 3631.346424698475
