Energy (MeV),Be7_Flux (cm^{-2} s^{-1}),pep_Flux (cm^{-2} s^{-1})
1.310000e-01,1.334821e-36,1.671706e-140
1.320000e-01,1.787820e-36,2.821431e-140
1.330000e-01,2.393597e-36,4.759984e-140
1.340000e-01,3.203350e-36,8.027269e-140
1.350000e-01,4.285329e-36,1.353183e-139
1.360000e-01,5.730468e-36,2.280191e-139
1.370000e-01,7.659887e-36,3.840718e-139
1.380000e-01,1.023484e-35,6.466657e-139
1.390000e-01,1.366991e-35,1.088362e-138
1.400000e-01,1.825059e-35,1.831022e-138
1.410000e-01,2.435646e-35,3.079213e-138
1.420000e-01,3.249211e-35,5.176215e-138
1.430000e-01,4.332792e-35,8.697835e-138
1.440000e-01,5.775427e-35,1.460953e-137
1.450000e-01,7.695319e-35,2.452944e-137
1.460000e-01,1.024933e-34,4.116853e-137
1.470000e-01,1.364553e-34,6.906680e-137
1.480000e-01,1.815983e-34,1.158243e-136
1.490000e-01,2.415792e-34,1.941584e-136
1.500000e-01,3.212428e-34,3.253411e-136
1.510000e-01,4.270057e-34,5.449392e-136
1.520000e-01,5.673618e-34,9.123961e-136
1.530000e-01,7.535514e-34,1.527021e-135
1.540000e-01,1.000442e-33,2.554659e-135
1.550000e-01,1.327692e-33,4.272157e-135
1.560000e-01,1.761282e-33,7.141472e-135
1.570000e-01,2.335537e-33,1.193313e-134
1.580000e-01,3.095787e-33,1.993185e-134
1.590000e-01,4.101866e-33,3.327875e-134
1.600000e-01,5.432731e-33,5.554086e-134
1.610000e-01,7.192523e-33,9.265833e-134
1.620000e-01,9.518545e-33,1.545193e-133
1.630000e-01,1.259175e-32,2.575771e-133
1.640000e-01,1.665053e-32,4.291982e-133
1.650000e-01,2.200879e-32,7.148830e-133
1.660000e-01,2.907975e-32,1.190250e-132
1.670000e-01,3.840709e-32,1.980924e-132
1.680000e-01,5.070589e-32,3.295519e-132
1.690000e-01,6.691626e-32,5.480321e-132
1.700000e-01,8.827368e-32,9.109917e-132
1.710000e-01,1.164011e-31,1.513733e-131
1.720000e-01,1.534296e-31,2.514260e-131
1.730000e-01,2.021565e-31,4.174433e-131
1.740000e-01,2.662517e-31,6.928051e-131
1.750000e-01,3.505285e-31,1.149346e-130
1.760000e-01,4.612970e-31,1.905975e-130
1.770000e-01,6.068259e-31,3.159436e-130
1.780000e-01,7.979469e-31,5.235139e-130
1.790000e-01,1.048842e-30,8.671081e-130
1.800000e-01,1.378074e-30,1.435637e-129
1.810000e-01,1.809927e-30,2.375976e-129
1.820000e-01,2.376162e-30,3.930664e-129
1.830000e-01,3.118296e-30,6.500040e-129
1.840000e-01,4.090580e-30,1.074465e-128
1.850000e-01,5.363875e-30,1.775396e-128
1.860000e-01,7.030703e-30,2.932406e-128
1.870000e-01,9.211813e-30,4.841494e-128
1.880000e-01,1.206473e-29,7.990260e-128
1.890000e-01,1.579489e-29,1.318162e-127
1.900000e-01,2.067007e-29,2.173716e-127
1.910000e-01,2.703917e-29,3.583135e-127
1.920000e-01,3.535666e-29,5.904048e-127
1.930000e-01,4.621418e-29,9.724400e-127
1.940000e-01,6.038174e-29,1.601039e-126
1.950000e-01,7.886099e-29,2.634921e-126
1.960000e-01,1.029545e-28,4.334703e-126
1.970000e-01,1.343552e-28,7.128160e-126
1.980000e-01,1.752628e-28,1.171714e-125
1.990000e-01,2.285344e-28,1.925273e-125
2.000000e-01,2.978788e-28,3.162200e-125
2.010000e-01,3.881092e-28,5.191735e-125
2.020000e-01,5.054690e-28,8.520440e-125
2.030000e-01,6.580538e-28,1.397777e-124
2.040000e-01,8.563565e-28,2.292133e-124
2.050000e-01,1.113971e-27,3.757233e-124
2.060000e-01,1.448504e-27,6.156343e-124
2.070000e-01,1.882746e-27,1.008332e-123
2.080000e-01,2.446189e-27,1.650862e-123
2.090000e-01,3.176981e-27,2.701745e-123
2.100000e-01,4.124445e-27,4.419815e-123
2.110000e-01,5.352327e-27,7.227533e-123
2.120000e-01,6.942982e-27,1.181415e-122
2.130000e-01,9.002762e-27,1.930372e-122
2.140000e-01,1.166895e-26,3.152869e-122
2.150000e-01,1.511869e-26,5.147508e-122
2.160000e-01,1.958045e-26,8.400680e-122
2.170000e-01,2.534880e-26,1.370434e-121
2.180000e-01,3.280338e-26,2.234746e-121
2.190000e-01,4.243322e-26,3.642709e-121
2.200000e-01,5.486806e-26,5.935360e-121
2.210000e-01,7.091851e-26,9.667093e-121
2.220000e-01,9.162750e-26,1.573878e-120
2.230000e-01,1.183364e-25,2.561371e-120
2.240000e-01,1.527697e-25,4.166776e-120
2.250000e-01,1.971434e-25,6.775699e-120
2.260000e-01,2.543043e-25,1.101373e-119
2.270000e-01,3.279075e-25,1.789538e-119
2.280000e-01,4.226445e-25,2.906523e-119
2.290000e-01,5.445346e-25,4.718814e-119
2.300000e-01,7.012970e-25,7.658050e-119
2.310000e-01,9.028274e-25,1.242310e-118
2.320000e-01,1.161807e-24,2.014503e-118
2.330000e-01,1.494477e-24,3.265368e-118
2.340000e-01,1.921635e-24,5.290815e-118
2.350000e-01,2.469896e-24,8.569182e-118
2.360000e-01,3.173313e-24,1.387339e-117
2.370000e-01,4.075430e-24,2.245183e-117
2.380000e-01,5.231909e-24,3.632014e-117
2.390000e-01,6.713874e-24,5.873127e-117
2.400000e-01,8.612169e-24,9.493309e-117
2.410000e-01,1.104277e-23,1.533883e-116
2.420000e-01,1.415370e-23,2.477381e-116
2.430000e-01,1.813377e-23,3.999631e-116
2.440000e-01,2.322377e-23,6.454659e-116
2.450000e-01,2.973058e-23,1.041245e-115
2.460000e-01,3.804525e-23,1.679031e-115
2.470000e-01,4.866578e-23,2.706394e-115
2.480000e-01,6.222620e-23,4.360632e-115
2.490000e-01,7.953333e-23,7.023187e-115
2.500000e-01,1.016135e-22,1.130694e-114
2.510000e-01,1.297716e-22,1.819628e-114
2.520000e-01,1.656664e-22,2.927158e-114
2.530000e-01,2.114051e-22,4.706911e-114
2.540000e-01,2.696638e-22,7.565754e-114
2.550000e-01,3.438399e-22,1.215611e-113
2.560000e-01,4.382441e-22,1.952376e-113
2.570000e-01,5.583445e-22,3.134429e-113
2.580000e-01,7.110738e-22,5.030135e-113
2.590000e-01,9.052183e-22,8.069140e-113
2.600000e-01,1.151909e-21,1.293901e-112
2.610000e-01,1.465243e-21,2.073964e-112
2.620000e-01,1.863061e-21,3.322979e-112
2.630000e-01,2.367941e-21,5.322067e-112
2.640000e-01,3.008438e-21,8.520387e-112
2.650000e-01,3.820651e-21,1.363530e-111
2.660000e-01,4.850205e-21,2.181203e-111
2.670000e-01,6.154730e-21,3.487819e-111
2.680000e-01,7.807001e-21,5.574913e-111
2.690000e-01,9.898873e-21,8.907349e-111
2.700000e-01,1.254624e-20,1.422608e-110
2.710000e-01,1.589526e-20,2.271162e-110
2.720000e-01,2.013019e-20,3.624410e-110
2.730000e-01,2.548324e-20,5.781664e-110
2.740000e-01,3.224687e-20,9.219231e-110
2.750000e-01,4.078934e-20,1.469477e-109
2.760000e-01,5.157417e-20,2.341300e-109
2.770000e-01,6.518445e-20,3.728875e-109
2.780000e-01,8.235349e-20,5.936421e-109
2.790000e-01,1.040031e-19,9.447087e-109
2.800000e-01,1.312916e-19,1.502787e-108
2.810000e-01,1.656738e-19,2.389589e-108
2.820000e-01,2.089763e-19,3.798178e-108
2.830000e-01,2.634914e-19,6.034671e-108
2.840000e-01,3.320949e-19,9.584253e-108
2.850000e-01,4.183929e-19,1.521560e-107
2.860000e-01,5.269053e-19,2.414606e-107
2.870000e-01,6.632957e-19,3.830274e-107
2.880000e-01,8.346570e-19,6.073508e-107
2.890000e-01,1.049869e-18,9.626660e-107
2.900000e-01,1.320045e-18,1.525239e-106
2.910000e-01,1.659084e-18,2.415608e-106
2.920000e-01,2.084368e-18,3.824207e-106
2.930000e-01,2.617620e-18,6.051773e-106
2.940000e-01,3.285982e-18,9.573044e-106
2.950000e-01,4.123349e-18,1.513714e-105
2.960000e-01,5.172032e-18,2.392565e-105
2.970000e-01,6.484830e-18,3.780159e-105
2.980000e-01,8.127599e-18,5.970115e-105
2.990000e-01,1.018245e-17,9.425004e-105
3.000000e-01,1.275171e-17,1.487328e-104
3.010000e-01,1.596287e-17,2.346163e-104
3.020000e-01,1.997468e-17,3.699438e-104
3.030000e-01,2.498475e-17,5.830956e-104
3.040000e-01,3.123895e-17,9.186923e-104
3.050000e-01,3.904308e-17,1.446860e-103
3.060000e-01,4.877733e-17,2.277768e-103
3.070000e-01,6.091416e-17,3.584417e-103
3.080000e-01,7.604046e-17,5.638375e-103
3.090000e-01,9.488500e-17,8.865754e-103
3.100000e-01,1.183523e-16,1.393489e-102
3.110000e-01,1.475645e-16,2.189363e-102
3.120000e-01,1.839135e-16,3.438416e-102
3.130000e-01,2.291245e-16,5.397905e-102
3.140000e-01,2.853355e-16,8.470680e-102
3.150000e-01,3.551945e-16,1.328733e-101
3.160000e-01,4.419804e-16,2.083451e-101
3.170000e-01,5.497511e-16,3.265542e-101
3.180000e-01,6.835266e-16,5.116270e-101
3.190000e-01,8.495150e-16,8.012684e-101
3.200000e-01,1.055390e-15,1.254379e-100
3.210000e-01,1.310633e-15,1.962935e-100
3.220000e-01,1.626955e-15,3.070501e-100
3.230000e-01,2.018814e-15,4.801079e-100
3.240000e-01,2.504052e-15,7.504033e-100
3.250000e-01,3.104679e-15,1.172403e-99
3.260000e-01,3.847834e-15,1.830988e-99
3.270000e-01,4.766967e-15,2.858382e-99
3.280000e-01,5.903293e-15,4.460476e-99
3.290000e-01,7.307567e-15,6.957746e-99
3.300000e-01,9.042271e-15,1.084881e-98
3.310000e-01,1.118429e-14,1.690916e-98
3.320000e-01,1.382820e-14,2.634440e-98
3.330000e-01,1.709029e-14,4.102803e-98
3.340000e-01,2.111345e-14,6.387037e-98
3.350000e-01,2.607326e-14,9.939040e-98
3.360000e-01,3.218532e-14,1.546022e-97
3.370000e-01,3.971426e-14,2.403883e-97
3.380000e-01,4.898481e-14,3.736261e-97
3.390000e-01,6.039524e-14,5.804801e-97
3.400000e-01,7.443381e-14,9.014960e-97
3.410000e-01,9.169889e-14,1.399479e-96
3.420000e-01,1.129235e-13,2.171678e-96
3.430000e-01,1.390051e-13,3.368610e-96
3.440000e-01,1.710422e-13,5.223148e-96
3.450000e-01,2.103789e-13,8.095435e-96
3.460000e-01,2.586589e-13,1.254222e-95
3.470000e-01,3.178916e-13,1.942382e-95
3.480000e-01,3.905322e-13,3.006917e-95
3.490000e-01,4.795798e-13,4.653014e-95
3.500000e-01,5.886962e-13,7.197366e-95
3.510000e-01,7.223504e-13,1.112856e-94
3.520000e-01,8.859941e-13,1.720010e-94
3.530000e-01,1.086276e-12,2.657352e-94
3.540000e-01,1.331299e-12,4.103869e-94
3.550000e-01,1.630938e-12,6.335255e-94
3.560000e-01,1.997218e-12,9.775997e-94
3.570000e-01,2.444780e-12,1.507941e-93
3.580000e-01,2.991440e-12,2.325058e-93
3.590000e-01,3.658873e-12,3.583518e-93
3.600000e-01,4.473428e-12,5.520923e-93
3.610000e-01,5.467137e-12,8.502370e-93
3.620000e-01,6.678912e-12,1.308864e-92
3.630000e-01,8.156010e-12,2.014075e-92
3.640000e-01,9.955797e-12,3.098010e-92
3.650000e-01,1.214788e-11,4.763391e-92
3.660000e-01,1.481670e-11,7.321095e-92
3.670000e-01,1.806461e-11,1.124766e-91
3.680000e-01,2.201568e-11,1.727326e-91
3.690000e-01,2.682019e-11,2.651631e-91
3.700000e-01,3.266013e-11,4.068909e-91
3.710000e-01,3.975577e-11,6.241215e-91
3.720000e-01,4.837364e-11,9.569441e-91
3.730000e-01,5.883607e-11,1.466663e-90
3.740000e-01,7.153273e-11,2.246986e-90
3.750000e-01,8.693451e-11,3.441095e-90
3.760000e-01,1.056102e-10,5.267678e-90
3.770000e-01,1.282466e-10,8.060614e-90
3.780000e-01,1.556726e-10,1.232944e-89
3.790000e-01,1.888882e-10,1.885145e-89
3.800000e-01,2.290992e-10,2.881194e-89
3.810000e-01,2.777593e-10,4.401761e-89
3.820000e-01,3.366201e-10,6.722127e-89
3.830000e-01,4.077911e-10,1.026156e-88
3.840000e-01,4.938121e-10,1.565835e-88
3.850000e-01,5.977395e-10,2.388390e-88
3.860000e-01,7.232501e-10,3.641587e-88
3.870000e-01,8.747648e-10,5.550120e-88
3.880000e-01,1.057597e-09,8.455520e-88
3.890000e-01,1.278132e-09,1.287670e-87
3.900000e-01,1.544036e-09,1.960176e-87
3.910000e-01,1.864513e-09,2.982716e-87
