Energy_MeV,Flux
1.607571e+00,2.960113e+07
1.615650e+00,2.828743e+07
1.623728e+00,2.698611e+07
1.631806e+00,2.566777e+07
1.639884e+00,2.431001e+07
1.647963e+00,2.297445e+07
1.656041e+00,2.161896e+07
1.664119e+00,2.016697e+07
1.672197e+00,1.852456e+07
1.680276e+00,1.649144e+07
1.688354e+00,1.423561e+07
1.696432e+00,1.210108e+07
1.704510e+00,1.031748e+07
1.712589e+00,8.150572e+06
1.720667e+00,4.198133e+06
1.728745e+00,3.597050e+05
1.736823e+00,1.328479e+05
1.744902e+00,6.243633e+04
1.752980e+00,6.221985e+04
1.761058e+00,6.264804e+04
1.769136e+00,6.307135e+04
1.777215e+00,6.348980e+04
1.785293e+00,6.390343e+04
1.793371e+00,6.431225e+04
1.801449e+00,6.471631e+04
1.809528e+00,6.511562e+04
1.817606e+00,6.551021e+04
1.825684e+00,6.589843e+04
1.833762e+00,6.627462e+04
1.841841e+00,6.663975e+04
1.849919e+00,6.699548e+04
1.857997e+00,6.734347e+04
1.866075e+00,6.768537e+04
1.874154e+00,6.802284e+04
1.882232e+00,6.835754e+04
1.890310e+00,6.869113e+04
1.898388e+00,6.902526e+04
1.906467e+00,6.936158e+04
1.914545e+00,6.970176e+04
1.922623e+00,7.004744e+04
1.930701e+00,7.040030e+04
1.938780e+00,7.076198e+04
1.946858e+00,7.113413e+04
1.954936e+00,7.151843e+04
1.963014e+00,7.191652e+04
1.971093e+00,7.233005e+04
1.979171e+00,7.276228e+04
1.987249e+00,7.321520e+04
1.995327e+00,7.368712e+04
2.003406e+00,7.417628e+04
2.011484e+00,7.468096e+04
2.019562e+00,7.519942e+04
2.027640e+00,7.572991e+04
2.035719e+00,7.627069e+04
2.043797e+00,7.682003e+04
2.051875e+00,7.737620e+04
2.059953e+00,7.793744e+04
2.068032e+00,7.850202e+04
2.076110e+00,7.906821e+04
2.084188e+00,7.963426e+04
2.092266e+00,8.019843e+04
2.100345e+00,8.075899e+04
2.108423e+00,8.131419e+04
2.116501e+00,8.186231e+04
2.124579e+00,8.240159e+04
2.132658e+00,8.293030e+04
2.140736e+00,8.344670e+04
2.148814e+00,8.394906e+04
2.156892e+00,8.443563e+04
2.164971e+00,8.490613e+04
2.173049e+00,8.536449e+04
2.181127e+00,8.581207e+04
2.189205e+00,8.624998e+04
2.197284e+00,8.667932e+04
2.205362e+00,8.710120e+04
2.213440e+00,8.751672e+04
2.221518e+00,8.792699e+04
2.229597e+00,8.833312e+04
2.237675e+00,8.873621e+04
2.245753e+00,8.913737e+04
2.253831e+00,8.953770e+04
2.261910e+00,8.993832e+04
2.269988e+00,9.034032e+04
2.278066e+00,9.074482e+04
2.286144e+00,9.115292e+04
2.294223e+00,9.156573e+04
2.302301e+00,9.198435e+04
2.310379e+00,9.240989e+04
2.318457e+00,9.284346e+04
2.326536e+00,9.328616e+04
2.334614e+00,9.373909e+04
2.342692e+00,9.420338e+04
2.350770e+00,9.468011e+04
2.358849e+00,9.517062e+04
2.366927e+00,9.568192e+04
2.375005e+00,9.621557e+04
2.383083e+00,9.676962e+04
2.391162e+00,9.734210e+04
2.399240e+00,9.793105e+04
2.407318e+00,9.853452e+04
2.415396e+00,9.915054e+04
2.423475e+00,9.977715e+04
2.431553e+00,1.004124e+05
2.439631e+00,1.010543e+05
2.447709e+00,1.017010e+05
2.455788e+00,1.023504e+05
2.463866e+00,1.030006e+05
2.471944e+00,1.036496e+05
2.480022e+00,1.042956e+05
2.488101e+00,1.049364e+05
2.496179e+00,1.055702e+05
2.504257e+00,1.061950e+05
2.512335e+00,1.068089e+05
2.520414e+00,1.074098e+05
2.528492e+00,1.079959e+05
2.536570e+00,1.085651e+05
2.544648e+00,1.091155e+05
