E_nu_MeV,X_times_N_nue
4.07727027e+01,2.07568114e+05
4.08255856e+01,2.07194152e+05
4.08784685e+01,2.06816157e+05
4.09313514e+01,2.06434118e+05
4.09842342e+01,2.06048026e+05
4.10371171e+01,2.05657874e+05
4.10900000e+01,2.05263650e+05
4.11428829e+01,2.04865347e+05
4.11957658e+01,2.04462954e+05
4.12486486e+01,2.04056464e+05
4.13015315e+01,2.03645865e+05
4.13544144e+01,2.03231151e+05
4.14072973e+01,2.02812310e+05
4.14601802e+01,2.02389334e+05
4.15130631e+01,2.01962214e+05
4.15659459e+01,2.01530940e+05
4.16188288e+01,2.01095504e+05
4.16717117e+01,2.00655896e+05
4.17245946e+01,2.00212107e+05
4.17774775e+01,1.99764128e+05
4.18303604e+01,1.99311950e+05
4.18832432e+01,1.98855563e+05
4.19361261e+01,1.98394958e+05
4.19890090e+01,1.97930126e+05
4.20418919e+01,1.97461058e+05
4.20947748e+01,1.96987745e+05
4.21476577e+01,1.96510178e+05
4.22005405e+01,1.96028346e+05
4.22534234e+01,1.95542242e+05
4.23063063e+01,1.95051856e+05
4.23591892e+01,1.94557178e+05
4.24120721e+01,1.94058200e+05
4.24649550e+01,1.93554912e+05
4.25178378e+01,1.93047306e+05
4.25707207e+01,1.92535371e+05
4.26236036e+01,1.92019099e+05
4.26764865e+01,1.91498481e+05
4.27293694e+01,1.90973508e+05
4.27822523e+01,1.90444169e+05
4.28351351e+01,1.89910457e+05
4.28880180e+01,1.89372361e+05
4.29409009e+01,1.88829873e+05
4.29937838e+01,1.88282983e+05
4.30466667e+01,1.87731683e+05
4.30995495e+01,1.87175963e+05
4.31524324e+01,1.86615814e+05
4.32053153e+01,1.86051226e+05
4.32581982e+01,1.85482191e+05
4.33110811e+01,1.84908700e+05
4.33639640e+01,1.84330742e+05
4.34168468e+01,1.83748310e+05
4.34697297e+01,1.83161393e+05
4.35226126e+01,1.82569983e+05
4.35754955e+01,1.81974070e+05
4.36283784e+01,1.81373645e+05
4.36812613e+01,1.80768700e+05
4.37341441e+01,1.80159224e+05
4.37870270e+01,1.79545209e+05
4.38399099e+01,1.78926645e+05
4.38927928e+01,1.78303523e+05
4.39456757e+01,1.77675835e+05
4.39985586e+01,1.77043571e+05
4.40514414e+01,1.76406721e+05
4.41043243e+01,1.75765276e+05
4.41572072e+01,1.75119228e+05
4.42100901e+01,1.74468567e+05
4.42629730e+01,1.73813285e+05
4.43158559e+01,1.73153370e+05
4.43687387e+01,1.72488816e+05
4.44216216e+01,1.71819611e+05
4.44745045e+01,1.71145748e+05
4.45273874e+01,1.70467217e+05
4.45802703e+01,1.69784009e+05
4.46331532e+01,1.69096114e+05
4.46860360e+01,1.68403524e+05
4.47389189e+01,1.67706229e+05
4.47918018e+01,1.67004220e+05
4.48446847e+01,1.66297487e+05
4.48975676e+01,1.65586023e+05
4.49504505e+01,1.64869817e+05
4.50033333e+01,1.64148860e+05
4.50562162e+01,1.63423144e+05
4.51090991e+01,1.62692658e+05
4.51619820e+01,1.61957394e+05
4.52148649e+01,1.61217342e+05
4.52677477e+01,1.60472494e+05
4.53206306e+01,1.59722840e+05
4.53735135e+01,1.58968371e+05
4.54263964e+01,1.58209078e+05
4.54792793e+01,1.57444951e+05
4.55321622e+01,1.56675982e+05
4.55850450e+01,1.55902161e+05
4.56379279e+01,1.55123479e+05
4.56908108e+01,1.54339927e+05
4.57436937e+01,1.53551495e+05
4.57965766e+01,1.52758175e+05
4.58494595e+01,1.51959957e+05
4.59023423e+01,1.51156832e+05
4.59552252e+01,1.50348791e+05
4.60081081e+01,1.49535825e+05
4.60609910e+01,1.48717924e+05
4.61138739e+01,1.47895080e+05
4.61667568e+01,1.47067283e+05
4.62196396e+01,1.46234523e+05
4.62725225e+01,1.45396793e+05
4.63254054e+01,1.44554082e+05
4.63782883e+01,1.43706381e+05
4.64311712e+01,1.42853682e+05
4.64840541e+01,1.41995974e+05
4.65369369e+01,1.41133250e+05
4.65898198e+01,1.40265499e+05
4.66427027e+01,1.39392712e+05
4.66955856e+01,1.38514881e+05
4.67484685e+01,1.37631995e+05
4.68013514e+01,1.36744047e+05
4.68542342e+01,1.35851026e+05
4.69071171e+01,1.34952924e+05
4.69600000e+01,1.34049731e+05
4.70128829e+01,1.33141438e+05
4.70657658e+01,1.32228036e+05
4.71186486e+01,1.31309516e+05
4.71715315e+01,1.30385868e+05
4.72244144e+01,1.29457084e+05
4.72772973e+01,1.28523153e+05
4.73301802e+01,1.27584068e+05
4.73830631e+01,1.26639819e+05
4.74359459e+01,1.25690396e+05
4.74888288e+01,1.24735790e+05
4.75417117e+01,1.23775993e+05
4.75945946e+01,1.22810995e+05
4.76474775e+01,1.21840786e+05
4.77003604e+01,1.20865359e+05
4.77532432e+01,1.19884702e+05
4.78061261e+01,1.18898808e+05
4.78590090e+01,1.17907667e+05
4.79118919e+01,1.16911270e+05
4.79647748e+01,1.15909608e+05
4.80176577e+01,1.14902671e+05
4.80705405e+01,1.13890451e+05
4.81234234e+01,1.12872937e+05
4.81763063e+01,1.11850122e+05
4.82291892e+01,1.10821995e+05
4.82820721e+01,1.09788548e+05
4.83349550e+01,1.08749771e+05
4.83878378e+01,1.07705656e+05
4.84407207e+01,1.06656192e+05
4.84936036e+01,1.05601372e+05
4.85464865e+01,1.04541185e+05
4.85993694e+01,1.03475622e+05
4.86522523e+01,1.02404675e+05
4.87051351e+01,1.01328333e+05
4.87580180e+01,1.00246589e+05
4.88109009e+01,9.91594320e+04
4.88637838e+01,9.80668536e+04
4.89166667e+01,9.69688446e+04
4.89695495e+01,9.58653957e+04
4.90224324e+01,9.47564978e+04
4.90753153e+01,9.36421415e+04
4.91281982e+01,9.25223178e+04
4.91810811e+01,9.13970175e+04
4.92339640e+01,9.02662313e+04
4.92868468e+01,8.91299501e+04
4.93397297e+01,8.79881647e+04
4.93926126e+01,8.68408659e+04
4.94454955e+01,8.56880445e+04
4.94983784e+01,8.45296913e+04
4.95512613e+01,8.33657971e+04
4.96041441e+01,8.21963528e+04
4.96570270e+01,8.10213492e+04
4.97099099e+01,7.98407770e+04
4.97627928e+01,7.86546271e+04
4.98156757e+01,7.74628903e+04
4.98685586e+01,7.62655573e+04
4.99214414e+01,7.50626191e+04
4.99743243e+01,7.38540664e+04
5.00272072e+01,7.26398901e+04
5.00800901e+01,7.14200809e+04
5.01329730e+01,7.01946296e+04
5.01858559e+01,6.89635271e+04
5.02387387e+01,6.77267642e+04
5.02916216e+01,6.64843316e+04
5.03445045e+01,6.52362203e+04
5.03973874e+01,6.39824210e+04
5.04502703e+01,6.27229244e+04
5.05031532e+01,6.14577216e+04
5.05560360e+01,6.01868031e+04
5.06089189e+01,5.89101599e+04
5.06618018e+01,5.76277828e+04
5.07146847e+01,5.63396626e+04
5.07675676e+01,5.50457900e+04
5.08204505e+01,5.37461559e+04
5.08733333e+01,5.24407512e+04
5.09262162e+01,5.11295665e+04
5.09790991e+01,4.98125928e+04
5.10319820e+01,4.84898209e+04
5.10848649e+01,4.71612414e+04
5.11377477e+01,4.58268454e+04
5.11906306e+01,4.44866235e+04
5.12435135e+01,4.31405666e+04
5.12963964e+01,4.17886655e+04
5.13492793e+01,4.04309110e+04
5.14021622e+01,3.90672939e+04
5.14550450e+01,3.76978051e+04
5.15079279e+01,3.63224353e+04
5.15608108e+01,3.49411753e+04
5.16136937e+01,3.35540160e+04
5.16665766e+01,3.21609482e+04
5.17194595e+01,3.07619626e+04
5.17723423e+01,2.93570502e+04
5.18252252e+01,2.79462016e+04
5.18781081e+01,2.65294078e+04
5.19309910e+01,2.51066595e+04
5.19838739e+01,2.36779476e+04
5.20367568e+01,2.22432627e+04
5.20896396e+01,2.08025959e+04
5.21425225e+01,1.93559378e+04
5.21954054e+01,1.79032793e+04
5.22482883e+01,1.64446112e+04
5.23011712e+01,1.49799243e+04
5.23540541e+01,1.35092094e+04
5.24069369e+01,1.20324574e+04
5.24598198e+01,1.05496590e+04
5.25127027e+01,9.06080499e+03
5.25655856e+01,7.56588628e+03
5.26184685e+01,6.06489364e+03
5.26713514e+01,4.55781788e+03
5.27242342e+01,3.04464981e+03
5.27771171e+01,1.52538025e+03
5.28300000e+01,0.00000000e+00
