E_nu_MeV,X_times_N_anti_nu_mu
9.30738739e+00,2.09130222e+04
9.36027027e+00,2.11353518e+04
9.41315315e+00,2.13586693e+04
9.46603604e+00,2.15829715e+04
9.51891892e+00,2.18082554e+04
9.57180180e+00,2.20345180e+04
9.62468468e+00,2.22617561e+04
9.67756757e+00,2.24899667e+04
9.73045045e+00,2.27191468e+04
9.78333333e+00,2.29492932e+04
9.83621622e+00,2.31804030e+04
9.88909910e+00,2.34124730e+04
9.94198198e+00,2.36455002e+04
9.99486486e+00,2.38794815e+04
1.00477477e+01,2.41144139e+04
1.01006306e+01,2.43502942e+04
1.01535135e+01,2.45871195e+04
1.02063964e+01,2.48248867e+04
1.02592793e+01,2.50635927e+04
1.03121622e+01,2.53032344e+04
1.03650450e+01,2.55438089e+04
1.04179279e+01,2.57853129e+04
1.04708108e+01,2.60277435e+04
1.05236937e+01,2.62710976e+04
1.05765766e+01,2.65153721e+04
1.06294595e+01,2.67605640e+04
1.06823423e+01,2.70066702e+04
1.07352252e+01,2.72536877e+04
1.07881081e+01,2.75016133e+04
1.08409910e+01,2.77504440e+04
1.08938739e+01,2.80001768e+04
1.09467568e+01,2.82508086e+04
1.09996396e+01,2.85023363e+04
1.10525225e+01,2.87547569e+04
1.11054054e+01,2.90080672e+04
1.11582883e+01,2.92622644e+04
1.12111712e+01,2.95173452e+04
1.12640541e+01,2.97733066e+04
1.13169369e+01,3.00301455e+04
1.13698198e+01,3.02878589e+04
1.14227027e+01,3.05464438e+04
1.14755856e+01,3.08058970e+04
1.15284685e+01,3.10662155e+04
1.15813514e+01,3.13273963e+04
1.16342342e+01,3.15894362e+04
1.16871171e+01,3.18523323e+04
1.17400000e+01,3.21160813e+04
1.17928829e+01,3.23806804e+04
1.18457658e+01,3.26461264e+04
1.18986486e+01,3.29124162e+04
1.19515315e+01,3.31795469e+04
1.20044144e+01,3.34475152e+04
1.20572973e+01,3.37163183e+04
1.21101802e+01,3.39859529e+04
1.21630631e+01,3.42564161e+04
1.22159459e+01,3.45277047e+04
1.22688288e+01,3.47998158e+04
1.23217117e+01,3.50727462e+04
1.23745946e+01,3.53464929e+04
1.24274775e+01,3.56210529e+04
1.24803604e+01,3.58964230e+04
1.25332432e+01,3.61726002e+04
1.25861261e+01,3.64495814e+04
1.26390090e+01,3.67273636e+04
1.26918919e+01,3.70059438e+04
1.27447748e+01,3.72853187e+04
1.27976577e+01,3.75654855e+04
1.28505405e+01,3.78464410e+04
1.29034234e+01,3.81281821e+04
1.29563063e+01,3.84107059e+04
1.30091892e+01,3.86940091e+04
1.30620721e+01,3.89780889e+04
1.31149550e+01,3.92629420e+04
1.31678378e+01,3.95485655e+04
1.32207207e+01,3.98349563e+04
1.32736036e+01,4.01221113e+04
1.33264865e+01,4.04100275e+04
1.33793694e+01,4.06987017e+04
1.34322523e+01,4.09881310e+04
1.34851351e+01,4.12783122e+04
1.35380180e+01,4.15692424e+04
1.35909009e+01,4.18609184e+04
1.36437838e+01,4.21533371e+04
1.36966667e+01,4.24464956e+04
1.37495495e+01,4.27403907e+04
1.38024324e+01,4.30350194e+04
1.38553153e+01,4.33303787e+04
1.39081982e+01,4.36264654e+04
1.39610811e+01,4.39232765e+04
1.40139640e+01,4.42208089e+04
1.40668468e+01,4.45190596e+04
1.41197297e+01,4.48180256e+04
1.41726126e+01,4.51177036e+04
1.42254955e+01,4.54180908e+04
1.42783784e+01,4.57191840e+04
