E_nu_MeV,X_times_N_anti_nu_mu
4.07727027e+01,2.20768718e+05
4.08255856e+01,2.21037521e+05
4.08784685e+01,2.21305489e+05
4.09313514e+01,2.21572620e+05
4.09842342e+01,2.21838909e+05
4.10371171e+01,2.22104355e+05
4.10900000e+01,2.22368955e+05
4.11428829e+01,2.22632704e+05
4.11957658e+01,2.22895600e+05
4.12486486e+01,2.23157640e+05
4.13015315e+01,2.23418820e+05
4.13544144e+01,2.23679139e+05
4.14072973e+01,2.23938592e+05
4.14601802e+01,2.24197177e+05
4.15130631e+01,2.24454890e+05
4.15659459e+01,2.24711729e+05
4.16188288e+01,2.24967691e+05
4.16717117e+01,2.25222771e+05
4.17245946e+01,2.25476969e+05
4.17774775e+01,2.25730279e+05
4.18303604e+01,2.25982700e+05
4.18832432e+01,2.26234227e+05
4.19361261e+01,2.26484859e+05
4.19890090e+01,2.26734592e+05
4.20418919e+01,2.26983423e+05
4.20947748e+01,2.27231348e+05
4.21476577e+01,2.27478366e+05
4.22005405e+01,2.27724472e+05
4.22534234e+01,2.27969664e+05
4.23063063e+01,2.28213938e+05
4.23591892e+01,2.28457292e+05
4.24120721e+01,2.28699723e+05
4.24649550e+01,2.28941227e+05
4.25178378e+01,2.29181801e+05
4.25707207e+01,2.29421443e+05
4.26236036e+01,2.29660149e+05
4.26764865e+01,2.29897916e+05
4.27293694e+01,2.30134742e+05
4.27822523e+01,2.30370622e+05
4.28351351e+01,2.30605554e+05
4.28880180e+01,2.30839536e+05
4.29409009e+01,2.31072563e+05
4.29937838e+01,2.31304633e+05
4.30466667e+01,2.31535743e+05
4.30995495e+01,2.31765889e+05
4.31524324e+01,2.31995069e+05
4.32053153e+01,2.32223280e+05
4.32581982e+01,2.32450518e+05
4.33110811e+01,2.32676780e+05
4.33639640e+01,2.32902064e+05
4.34168468e+01,2.33126367e+05
4.34697297e+01,2.33349684e+05
4.35226126e+01,2.33572014e+05
4.35754955e+01,2.33793352e+05
4.36283784e+01,2.34013697e+05
4.36812613e+01,2.34233045e+05
4.37341441e+01,2.34451393e+05
4.37870270e+01,2.34668738e+05
4.38399099e+01,2.34885076e+05
4.38927928e+01,2.35100405e+05
4.39456757e+01,2.35314722e+05
4.39985586e+01,2.35528023e+05
4.40514414e+01,2.35740306e+05
4.41043243e+01,2.35951568e+05
4.41572072e+01,2.36161805e+05
4.42100901e+01,2.36371014e+05
4.42629730e+01,2.36579193e+05
4.43158559e+01,2.36786338e+05
4.43687387e+01,2.36992446e+05
4.44216216e+01,2.37197514e+05
4.44745045e+01,2.37401539e+05
4.45273874e+01,2.37604518e+05
4.45802703e+01,2.37806448e+05
4.46331532e+01,2.38007326e+05
4.46860360e+01,2.38207149e+05
4.47389189e+01,2.38405913e+05
4.47918018e+01,2.38603616e+05
4.48446847e+01,2.38800255e+05
4.48975676e+01,2.38995826e+05
4.49504505e+01,2.39190327e+05
4.50033333e+01,2.39383754e+05
4.50562162e+01,2.39576105e+05
4.51090991e+01,2.39767376e+05
4.51619820e+01,2.39957564e+05
4.52148649e+01,2.40146666e+05
4.52677477e+01,2.40334679e+05
4.53206306e+01,2.40521601e+05
4.53735135e+01,2.40707427e+05
4.54263964e+01,2.40892155e+05
4.54792793e+01,2.41075783e+05
4.55321622e+01,2.41258305e+05
4.55850450e+01,2.41439721e+05
4.56379279e+01,2.41620026e+05
4.56908108e+01,2.41799218e+05
4.57436937e+01,2.41977294e+05
4.57965766e+01,2.42154250e+05
4.58494595e+01,2.42330083e+05
4.59023423e+01,2.42504791e+05
4.59552252e+01,2.42678370e+05
4.60081081e+01,2.42850817e+05
4.60609910e+01,2.43022129e+05
4.61138739e+01,2.43192304e+05
4.61667568e+01,2.43361337e+05
4.62196396e+01,2.43529226e+05
4.62725225e+01,2.43695969e+05
4.63254054e+01,2.43861561e+05
4.63782883e+01,2.44026000e+05
4.64311712e+01,2.44189283e+05
4.64840541e+01,2.44351406e+05
4.65369369e+01,2.44512367e+05
4.65898198e+01,2.44672162e+05
4.66427027e+01,2.44830789e+05
4.66955856e+01,2.44988244e+05
4.67484685e+01,2.45144525e+05
4.68013514e+01,2.45299628e+05
4.68542342e+01,2.45453550e+05
4.69071171e+01,2.45606288e+05
4.69600000e+01,2.45757840e+05
4.70128829e+01,2.45908201e+05
4.70657658e+01,2.46057370e+05
4.71186486e+01,2.46205342e+05
4.71715315e+01,2.46352115e+05
4.72244144e+01,2.46497686e+05
4.72772973e+01,2.46642051e+05
4.73301802e+01,2.46785209e+05
4.73830631e+01,2.46927154e+05
4.74359459e+01,2.47067886e+05
4.74888288e+01,2.47207400e+05
4.75417117e+01,2.47345693e+05
4.75945946e+01,2.47482762e+05
4.76474775e+01,2.47618605e+05
4.77003604e+01,2.47753218e+05
4.77532432e+01,2.47886598e+05
4.78061261e+01,2.48018742e+05
4.78590090e+01,2.48149648e+05
4.79118919e+01,2.48279311e+05
4.79647748e+01,2.48407729e+05
4.80176577e+01,2.48534899e+05
4.80705405e+01,2.48660817e+05
4.81234234e+01,2.48785482e+05
4.81763063e+01,2.48908889e+05
4.82291892e+01,2.49031035e+05
4.82820721e+01,2.49151919e+05
4.83349550e+01,2.49271535e+05
4.83878378e+01,2.49389882e+05
4.84407207e+01,2.49506956e+05
4.84936036e+01,2.49622755e+05
4.85464865e+01,2.49737274e+05
4.85993694e+01,2.49850512e+05
4.86522523e+01,2.49962465e+05
4.87051351e+01,2.50073130e+05
4.87580180e+01,2.50182504e+05
4.88109009e+01,2.50290584e+05
4.88637838e+01,2.50397366e+05
4.89166667e+01,2.50502849e+05
4.89695495e+01,2.50607028e+05
4.90224324e+01,2.50709900e+05
4.90753153e+01,2.50811464e+05
4.91281982e+01,2.50911714e+05
4.91810811e+01,2.51010649e+05
4.92339640e+01,2.51108266e+05
4.92868468e+01,2.51204561e+05
4.93397297e+01,2.51299531e+05
4.93926126e+01,2.51393173e+05
4.94454955e+01,2.51485485e+05
4.94983784e+01,2.51576462e+05
4.95512613e+01,2.51666103e+05
4.96041441e+01,2.51754403e+05
4.96570270e+01,2.51841360e+05
4.97099099e+01,2.51926971e+05
4.97627928e+01,2.52011233e+05
4.98156757e+01,2.52094143e+05
4.98685586e+01,2.52175697e+05
4.99214414e+01,2.52255893e+05
4.99743243e+01,2.52334727e+05
5.00272072e+01,2.52412197e+05
5.00800901e+01,2.52488299e+05
5.01329730e+01,2.52563030e+05
5.01858559e+01,2.52636388e+05
5.02387387e+01,2.52708368e+05
5.02916216e+01,2.52778969e+05
5.03445045e+01,2.52848187e+05
5.03973874e+01,2.52916019e+05
5.04502703e+01,2.52982462e+05
5.05031532e+01,2.53047513e+05
5.05560360e+01,2.53111168e+05
5.06089189e+01,2.53173425e+05
5.06618018e+01,2.53234281e+05
5.07146847e+01,2.53293733e+05
5.07675676e+01,2.53351777e+05
5.08204505e+01,2.53408411e+05
5.08733333e+01,2.53463631e+05
5.09262162e+01,2.53517434e+05
5.09790991e+01,2.53569818e+05
5.10319820e+01,2.53620779e+05
5.10848649e+01,2.53670314e+05
5.11377477e+01,2.53718420e+05
5.11906306e+01,2.53765094e+05
5.12435135e+01,2.53810333e+05
5.12963964e+01,2.53854135e+05
5.13492793e+01,2.53896495e+05
5.14021622e+01,2.53937410e+05
5.14550450e+01,2.53976879e+05
5.15079279e+01,2.54014897e+05
5.15608108e+01,2.54051462e+05
5.16136937e+01,2.54086570e+05
5.16665766e+01,2.54120219e+05
5.17194595e+01,2.54152406e+05
5.17723423e+01,2.54183126e+05
5.18252252e+01,2.54212378e+05
5.18781081e+01,2.54240158e+05
5.19309910e+01,2.54266463e+05
5.19838739e+01,2.54291291e+05
5.20367568e+01,2.54314637e+05
5.20896396e+01,2.54336500e+05
5.21425225e+01,2.54356875e+05
5.21954054e+01,2.54375760e+05
5.22482883e+01,2.54393152e+05
5.23011712e+01,2.54409048e+05
5.23540541e+01,2.54423444e+05
5.24069369e+01,2.54436338e+05
5.24598198e+01,2.54447727e+05
5.25127027e+01,2.54457607e+05
5.25655856e+01,2.54465975e+05
5.26184685e+01,2.54472829e+05
5.26713514e+01,2.54478165e+05
5.27242342e+01,2.54481980e+05
5.27771171e+01,2.54484271e+05
5.28300000e+01,2.54485036e+05
