E_MeV,phi_per_MeV_cm2_s
4.9625E+00,3.8976E+07
4.9875E+00,3.2893E+07
5.0125E+00,2.7717E+07
5.0375E+00,2.3321E+07
5.0625E+00,1.9592E+07
5.0875E+00,1.6434E+07
5.1125E+00,1.3763E+07
5.1375E+00,1.1509E+07
5.1625E+00,9.6087E+06
5.1875E+00,8.0096E+06
5.2125E+00,6.6660E+06
5.2375E+00,5.5389E+06
5.2625E+00,4.5949E+06
5.2875E+00,3.8057E+06
5.3125E+00,3.1468E+06
5.3375E+00,2.5977E+06
5.3625E+00,2.1409E+06
5.3875E+00,1.7614E+06
5.4125E+00,1.4468E+06
5.4375E+00,1.1863E+06
5.4625E+00,9.7108E+05
5.4875E+00,7.9352E+05
5.5125E+00,6.4730E+05
5.5375E+00,5.2709E+05
5.5625E+00,4.2844E+05
5.5875E+00,3.4764E+05
5.6125E+00,2.8157E+05
5.6375E+00,2.2764E+05
5.6625E+00,1.8370E+05
5.6875E+00,1.4797E+05
5.7125E+00,1.1897E+05
5.7375E+00,9.5468E+04
5.7625E+00,7.6467E+04
5.7875E+00,6.1130E+04
5.8125E+00,4.8775E+04
5.8375E+00,3.8842E+04
5.8625E+00,3.0871E+04
5.8875E+00,2.4487E+04
5.9125E+00,1.9384E+04
5.9375E+00,1.5314E+04
5.9625E+00,1.2074E+04
5.9875E+00,9.4996E+03
6.0125E+00,7.4588E+03
6.0375E+00,5.8442E+03
6.0625E+00,4.5694E+03
6.0875E+00,3.5650E+03
6.1125E+00,2.7755E+03
6.1375E+00,2.1561E+03
6.1625E+00,1.6712E+03
6.1875E+00,1.2925E+03
6.2125E+00,9.9740E+02
6.2375E+00,7.6792E+02
6.2625E+00,5.8988E+02
6.2875E+00,4.5208E+02
6.3125E+00,3.4565E+02
6.3375E+00,2.6366E+02
6.3625E+00,2.0063E+02
6.3875E+00,1.5231E+02
6.4125E+00,1.1534E+02
6.4375E+00,8.7125E+01
6.4625E+00,6.5650E+01
6.4875E+00,4.9343E+01
6.5125E+00,3.6991E+01
6.5375E+00,2.7660E+01
6.5625E+00,2.0628E+01
6.5875E+00,1.5344E+01
6.6125E+00,1.1382E+01
6.6375E+00,8.4206E+00
6.6625E+00,6.2126E+00
6.6875E+00,4.5708E+00
6.7125E+00,3.3534E+00
6.7375E+00,2.4533E+00
6.7625E+00,1.7896E+00
6.7875E+00,1.3017E+00
6.8125E+00,9.4405E-01
6.8375E+00,6.8262E-01
6.8625E+00,4.9211E-01
6.8875E+00,3.5369E-01
6.9125E+00,2.5343E-01
6.9375E+00,1.8103E-01
6.9625E+00,1.2891E-01
6.9875E+00,9.1507E-02
7.0125E+00,6.4751E-02
7.0375E+00,4.5672E-02
7.0625E+00,3.2112E-02
7.0875E+00,2.2505E-02
7.1125E+00,1.5720E-02
7.1375E+00,1.0945E-02
7.1625E+00,7.5959E-03
7.1875E+00,5.2541E-03
7.2125E+00,3.6223E-03
7.2375E+00,2.4890E-03
7.2625E+00,1.7046E-03
7.2875E+00,1.1635E-03
7.3125E+00,7.9159E-04
7.3375E+00,5.3675E-04
7.3625E+00,3.6275E-04
7.3875E+00,2.4434E-04
7.4125E+00,1.6403E-04
7.4375E+00,1.0976E-04
7.4625E+00,7.3194E-05
7.4875E+00,4.8650E-05
7.5125E+00,3.2229E-05
7.5375E+00,2.1279E-05
7.5625E+00,1.4003E-05
7.5875E+00,9.1833E-06
7.6125E+00,6.0024E-06
7.6375E+00,3.9099E-06
7.6625E+00,2.5382E-06
7.6875E+00,1.6420E-06
7.7125E+00,1.0585E-06
7.7375E+00,6.7996E-07
7.7625E+00,4.3522E-07
7.7875E+00,2.7756E-07
7.8125E+00,1.7636E-07
7.8375E+00,1.1164E-07
7.8625E+00,7.0403E-08
7.8875E+00,4.4226E-08
7.9125E+00,2.7673E-08
7.9375E+00,1.7246E-08
7.9625E+00,1.0705E-08
7.9875E+00,6.6169E-09
8.0125E+00,4.0730E-09
8.0375E+00,2.4965E-09
8.0625E+00,1.5236E-09
8.0875E+00,9.2574E-10
8.1125E+00,5.6000E-10
8.1375E+00,3.3723E-10
8.1625E+00,2.0215E-10
8.1875E+00,1.2062E-10
8.2125E+00,7.1635E-11
8.2375E+00,4.2342E-11
8.2625E+00,2.4907E-11
8.2875E+00,1.4581E-11
8.3125E+00,8.4936E-12
8.3375E+00,4.9231E-12
8.3625E+00,2.8393E-12
8.3875E+00,1.6292E-12
8.4125E+00,9.3003E-13
8.4375E+00,5.2816E-13
8.4625E+00,2.9837E-13
8.4875E+00,1.6766E-13
8.5125E+00,9.3706E-14
8.5375E+00,5.2089E-14
8.5625E+00,2.8797E-14
8.5875E+00,1.5832E-14
8.6125E+00,8.6551E-15
8.6375E+00,4.7049E-15
8.6625E+00,2.5429E-15
8.6875E+00,1.3664E-15
8.7125E+00,7.2997E-16
8.7375E+00,3.8765E-16
8.7625E+00,2.0463E-16
8.7875E+00,1.0737E-16
8.8125E+00,5.5988E-17
8.8375E+00,2.9015E-17
8.8625E+00,1.4943E-17
8.8875E+00,7.6470E-18
8.9125E+00,3.8883E-18
8.9375E+00,1.9643E-18
8.9625E+00,9.8586E-19
8.9875E+00,4.9151E-19
9.0125E+00,2.4341E-19
9.0375E+00,1.1973E-19
9.0625E+00,5.8492E-20
9.0875E+00,2.8377E-20
9.1125E+00,1.3671E-20
9.1375E+00,6.5394E-21
9.1625E+00,3.1058E-21
9.1875E+00,1.4644E-21
9.2125E+00,6.8541E-22
9.2375E+00,3.1844E-22
9.2625E+00,1.4684E-22
9.2875E+00,6.7201E-23
9.3125E+00,3.0519E-23
9.3375E+00,1.3753E-23
9.3625E+00,6.1492E-24
9.3875E+00,2.7277E-24
9.4125E+00,1.2003E-24
9.4375E+00,5.2391E-25
9.4625E+00,2.2681E-25
9.4875E+00,9.7382E-26
9.5125E+00,4.1461E-26
9.5375E+00,1.7504E-26
9.5625E+00,7.3263E-27
9.5875E+00,3.0400E-27
9.6125E+00,1.2504E-27
9.6375E+00,5.0979E-28
9.6625E+00,2.0598E-28
9.6875E+00,8.2477E-29
9.7125E+00,3.2723E-29
9.7375E+00,1.2863E-29
9.7625E+00,5.0092E-30
9.7875E+00,1.9323E-30
9.8125E+00,7.3828E-31
9.8375E+00,2.7935E-31
9.8625E+00,1.0467E-31
9.8875E+00,3.8833E-32
9.9125E+00,1.4264E-32
9.9375E+00,5.1862E-33
9.9625E+00,1.8665E-33
9.9875E+00,6.6482E-34
