E_MeV,phi_25m_2_per_MeV_cm2_s
6.2125,59980794043
6.2375,57380360962
6.2625,55900387399
6.2875,54371610830
6.3125,52963590926
6.3375,51561162654
6.3625,50174317888
6.3875,48627643337
6.4125,46209055534
6.4375,45061391369
6.4625,43888474654
6.4875,42698522158
6.5125,41579410747
6.5375,40483615827
6.5625,39383147985
6.5875,37956831861
6.6125,36739905603
6.6375,35722476858
6.6625,34625280477
6.6875,33563467404
6.7125,32484137753
6.7375,31507614793
6.7625,30497770930
6.7875,29416005102
6.8125,28371074359
6.8375,26814621103
6.8625,25945984934
6.8875,25136046022
6.9125,24323781775
6.9375,23341982951
6.9625,22315567752
6.9875,21476492660
7.0125,20753163002
7.0375,20004209171
7.0625,19310767355
7.0875,18644434399
7.1125,16249721357
7.1375,15481902428
7.1625,14996102024
7.1875,14515007379
7.2125,14007825020
7.2375,13368088746
7.2625,12931000786
7.2875,12490458076
7.3125,12074093367
7.3375,11249258690
7.3625,10812954197
7.3875,10313385150
7.4125,9797068519
7.4375,9484151846
7.4625,9130196413
7.4875,8736072255
7.5125,8410184943
7.5375,8126324361
7.5625,7864026884
7.5875,7605683790
7.6125,7352133688
7.6375,7055805175
7.6625,6785095056
7.6875,6544270299
7.7125,6317388175
7.7375,6088157348
7.7625,5864237350
7.7875,5640834802
7.8125,5407035506
7.8375,5186252305
7.8625,4952407719
7.8875,4675311457
7.9125,4479502474
7.9375,4293205552
7.9625,4110030794
7.9875,3908761510
8.0125,3690898870
8.0375,3516515535
8.0625,3359629558
8.0875,2972268228
8.1125,1966926445
8.1375,1876448924
8.1625,1800392140
8.1875,1725718155
8.2125,1635788263
8.2375,1548509282
8.2625,1495181872
8.2875,1446970685
8.3125,1396262372
8.3375,1341428463
8.3625,1293360816
8.3875,1245685565
8.4125,1200516188
8.4375,1142743153
8.4625,1088710558
8.4875,1047243952
8.5125,1007126732
8.5375,965448275
8.5625,917893821.7
8.5875,881932275.9
8.6125,846895758.8
8.6375,798266283.6
8.6625,760615948
8.6875,715946187.1
8.7125,648370261.1
8.7375,617231218.1
8.7625,591183484.1
8.7875,565905548.4
8.8125,539141645.3
8.8375,509500068.6
8.8625,477423615.3
8.8875,448055046
8.9125,424361972.9
8.9375,407928571
8.9625,392304875
8.9875,339189893.8
9.0125,315690675.9
9.0375,304559256.8
9.0625,291638882.6
9.0875,276833781.8
9.1125,265357378.6
9.1375,255404506.3
9.1625,246495457
