#500m daya bay experiment
Neutrino_Energy_MeV,Neutrino_Flux_per_cm2_s_MeV
2.747,5.21E+06
3.034,1.52E+07
3.284,2.21E+07
3.534,2.67E+07
3.784,2.88E+07
4.034,3.01E+07
4.284,2.95E+07
4.534,2.82E+07
4.784,2.65E+07
5.034,2.40E+07
5.284,2.09E+07
5.534,1.79E+07
5.784,1.58E+07
6.034,1.36E+07
6.284,1.14E+07
6.534,9.24E+06
6.784,7.11E+06
7.034,5.27E+06
7.284,4.04E+06
7.534,2.97E+06
7.784,2.04E+06
8.034,1.37E+06
8.284,9.15E+05
8.534,6.11E+05
8.784,3.59E+05
10.847,1.09E+04
