E_MeV,phi_10m_1_per_MeV_cm2_s,dphi_10m_1_per_MeV_cm2_s
0.0125,35334377313959.055,1801683215042.1091
0.0375,104214314771644.73,3523511496985.126
0.0625,79002644893916.38,3516279914772.3354
0.0875,80598954034972.17,5020195314620.006
0.1125,105465835308827.61,4795751765368.695
0.1375,138330729658902.67,5200830504156.902
0.1625,141076485386330.53,5191747147892.156
0.1875,147844320759530.38,5649348281146.357
0.2125,168697091618915.75,6565214786634.269
0.2375,150127344262323.84,8364531096404.933
0.2625,144533760066578.3,9219419106824.64
0.2875,139720815019537.28,8511216715491.635
0.3125,135700761991494.39,7692832851727.593
0.3375,135599456513384.95,7196106579399.153
0.3625,127344335390657.66,7300742699179.748
0.3875,129033566812682.12,7230528128613.306
0.4125,128627403754527.19,7033798102599.229
0.4375,129257574185281.17,6655652684763.094
0.4625,128755073066237.67,6186218934117.599
0.4875,132558732581891.6,5966831210948.335
0.5125,128013143266809.73,5722253394956.05
0.5375,123949002271964.31,5596029007703.973
0.5625,119658443568977.73,5237723287065.362
0.5875,113119742695174.08,4320682592463.2803
0.6125,111354813773687.8,4078943251113.6553
0.6375,113278887929692.72,3972241883591.248
0.6625,113067322693605.89,3691297319662.0444
0.6875,113473943966140.31,3429676723425.6987
0.7125,114931580600772.48,3309477738547.6646
0.7375,115528604034926.89,3243867096300.4688
0.7625,113977621819810.67,3154888639302.4688
0.7875,114409852799451.33,2939964506818.958
0.8125,114142563785994.83,2791901963667.86
0.8375,114761619190763.1,2729790607628.284
0.8625,114935844708181.86,2668419963243.6577
0.8875,114086320433964.72,2551762774223.2
0.9125,112180135651805.1,2460098126446.173
0.9375,106510712741528.7,2029145519021.555
0.9625,105499764087259.89,1931760174129.272
0.9875,104405169443730.78,1906026734249.8276
1.0125,101089423202080.36,1862595050341.0664
1.0375,98965802646985.4,1711394620280.4202
1.0625,98594036433856.36,1655778146847.416
1.0875,97876065836400.81,1639801890142.9631
1.1125,95890502974999.25,1528592096675.3345
1.1375,94169569893471.16,1473305335473.5015
1.1625,93340519384424.19,1414750210874.2407
1.1875,92154042300630.69,1394839375911.1467
1.2125,89246728928991.77,1263791595713.713
1.2375,86897577710718.11,1159687459138.239
1.2625,84482478709506.45,1206198394844.8462
1.2875,81901007961142.2,1233139057197.9106
1.3125,79393745126603.22,1240652817248.9456
1.3375,78350229546446.84,1246293320194.739
1.3625,76648063722895.89,1172671729989.0015
1.3875,76038922756757.6,1380118703083.584
1.4125,74887362438342.16,1197325658578.9124
1.4375,74097042365766.88,1298921804731.5496
1.4625,73283866712046.5,1347009268177.658
1.4875,72355324742209.19,1370443294076.3225
1.5125,70780269419697.67,1350324007309.7202
1.5375,69846985942180.805,1362584840134.8425
1.5625,68325481551710.875,1426269995685.8208
1.5875,67560156200665.734,1596173367898.6199
1.6125,66869172891834.56,1526524109730.395
1.6375,66078294699971.7,1599184624723.9487
1.6625,65048828031458.38,1155393175934.0532
1.6875,64170495883155.05,1162535201749.2551
1.7125,63471588455791.93,1160629743661.6626
1.7375,62720508714980.516,1183885234918.154
1.7625,61701583224191.9,1196634086903.9739
1.7875,60092967284933.63,1200888958386.7578
1.8125,58841338719087.17,1174749394727.1707
1.8375,58040430973250.38,1179037353900.7737
1.8625,57364450858064.984,1187160715721.4893
1.8875,56748910965278.836,1185485315723.9385
1.9125,56010949706836.695,1199808862900.836
1.9375,54342028537797.2,1167156970842.3994
1.9625,53594834199112.06,1160489154024.1423
1.9875,52645812760191.12,1158842819084.7031
2.0125,51965951736871.84,1131427301727.4624
2.0375,51312823573068.46,1144582036034.3418
2.0625,50683284548247.44,1120566118152.2783
2.0875,49290975698447.26,1121686195560.887
2.1125,48376747993219.945,1136648599494.0103
2.1375,47512425485979.88,1108570697650.0654
2.1625,46650479851323.09,1075868659650.7222
2.1875,45989096119763.27,1063847836221.0492
2.2125,45174937007658.71,1045087791510.2181
2.2375,44299978948853.414,991856019415.4932
2.2625,43244367753568.445,923155335057.2573
2.2875,41958117487514.53,919950316297.747
2.3125,41111779367489.97,847836596442.8201
2.3375,40230026893420.54,831701022766.6948
2.3625,39607873952533.01,830396029086.9901
2.3875,39107584914828.18,828021760942.296
2.4125,38632307468409.57,842153883078.2056
2.4375,38149252753303.15,832722318815.2931
2.4625,37608576707103.016,827013474193.259
2.4875,36936358305545.25,804171791543.1127
2.5125,35865470232476.984,725575789002.1495
2.5375,35348097006089.234,694217128967.3834
2.5625,34777054621090.43,688644160202.6146
2.5875,34276173845577.895,678595317726.5144
2.6125,33702585181766.71,682260105675.2439
2.6375,32918468201477.938,662787233527.9442
2.6625,32344976158503.477,631246978596.3314
2.6875,31849117557780.78,637663068351.8541
2.7125,31308112274783.184,631592046799.6262
2.7375,30810103177702.344,633045831294.8588
2.7625,30358584725894.453,634200380272.376
2.7875,29917442211167.42,634743874364.7384
2.8125,29522950898234.312,644440403333.8763
2.8375,29054222685224.94,634179705384.9296
2.8625,28649536024567.312,635032754384.3856
2.8875,28162681708020.395,675354580739.7968
2.9125,27377943433281.56,659596131630.9076
2.9375,26707746965329.95,654412418981.9637
2.9625,26290880358047.785,604272519717.4723
2.9875,25881524180012.047,602668002584.3464
3.0125,25013664676049.22,608513911373.586
3.0375,24634138012134.727,607929373028.8567
3.0625,24274456144584.098,615122851253.0461
3.0875,23947694344301.137,593488167761.3291
3.1125,23609890320709.44,586912846366.3367
3.1375,23285938389178.035,589046006583.7402
3.1625,22854003494498.555,595024116490.069
3.1875,22476925987306.715,592755549446.8193
3.2125,22116335935744.688,633497007896.0588
3.2375,21651636033820.094,621670682440.6714
3.2625,21270786805225.242,632045161299.6234
3.2875,20933861564563.86,625540281244.4572
3.3125,20580541772923.36,791309358827.6519
3.3375,20223700678964.344,765764559416.2806
3.3625,19880933438306.25,745224821009.8364
3.3875,19489659409105.418,594812632978.585
3.4125,19030669055393.676,576419099547.2992
3.4375,18509183341986.465,550254340194.6564
3.4625,18150912570766.582,636550611402.0262
3.4875,17772233612096.453,607636872137.428
3.5125,17362468152344.676,594811222634.3203
3.5375,17035875291607.002,581524223085.9637
3.5625,16676898859871.926,564159809333.0055
3.5875,16389616177910.84,567576833632.054
