E_MeV,phi_500m_1_per_MeV_cm2_s,dphi_500m_1_per_MeV_cm2_s
2.5875,13710469538.23116,271438127.0906058
2.6125,13481034072.706686,272904042.2700976
2.6375,13167387280.591177,265114893.41117775
2.6625,12937990463.401392,252498791.4385326
2.6875,12739647023.112314,255065227.3407417
2.7125,12523244909.913275,252636818.71985054
2.7375,12324041271.08094,253218332.51794353
2.7625,12143433890.357782,253680152.1089504
2.7875,11966976884.46697,253897549.74589542
2.8125,11809180359.293728,257776161.33355057
2.8375,11621689074.08998,253671882.15397188
2.8625,11459814409.826927,254013101.7537543
2.8875,11265072683.208158,270141832.29591876
2.9125,10951177373.312626,263838452.6523631
2.9375,10683098786.13198,261764967.5927855
2.9625,10516352143.219114,241709007.88698894
2.9875,10352609672.004822,241067201.0337386
3.0125,10005465870.41969,243405564.54943445
3.0375,9853655204.853893,243171749.21154273
3.0625,9709782457.83364,246049140.5012185
3.0875,9579077737.720457,237395267.1045317
3.1125,9443956128.28378,234765138.54653472
3.1375,9314375355.671215,235618402.63349614
3.1625,9141601397.799423,238009646.5960276
3.1875,8990770394.922688,237102219.7787278
3.2125,8846534374.297876,253398803.15842354
3.2375,8660654413.528038,248668272.97626862
3.2625,8508314722.090099,252818064.51984942
3.2875,8373544625.825544,250216112.49778292
3.3125,8232216709.169345,316523743.53106076
3.3375,8089480271.585739,306305823.76651233
3.3625,7952373375.322502,298089928.40393466
3.3875,7795863763.642168,237925053.191434
3.4125,7612267622.157472,230567639.81891972
3.4375,7403673336.794586,220101736.07786256
3.4625,7260365028.306634,254620244.5608105
3.4875,7108893444.838582,243054748.85497123
3.5125,6944987260.937871,237924489.0537282
3.5375,6814350116.642802,232609689.23438552
3.5625,6670759543.948771,225663923.73320222
3.5875,6555846471.164337,227030733.4528216
3.6125,6438434842.309959,232494253.3524947
3.6375,6272538220.776008,221845750.2867085
3.6625,6058168553.66845,215604631.0921948
3.6875,5945463171.937807,208569225.88042757
3.7125,5802726748.181873,200614012.80790877
3.7375,5696722213.336558,207932777.95793673
3.7625,5590015108.460071,200101937.18053967
3.7875,5477241874.357941,280694581.87984306
3.8125,5369150792.666418,220990857.2553554
3.8375,5273912584.565322,211596066.82815695
3.8625,5151916129.348169,193650492.21823242
3.8875,5055778085.690803,185439511.373729
3.9125,4962300865.798391,178212014.00458908
3.9375,4869283740.848455,207238698.7077912
3.9625,4773775582.080479,196856184.36652824
3.9875,4609786805.513189,110733137.98660634
4.0125,4453984257.856435,102288620.37024716
4.0375,4365528486.801249,100004267.58002928
4.0625,4272680612.5191393,98586492.61974412
4.0875,4184850813.123032,96342882.33792241
4.1125,4096214404.3146477,93251338.65336269
4.1375,4016953161.9614334,92052187.03078796
4.1625,3936384492.7684355,91182428.33340399
4.1875,3850805312.424346,90360503.95101689
4.2125,3750749240.2558293,89328464.12480396
4.2375,3648089252.0938797,89041199.66257314
4.2625,3553620830.3226757,87291163.8679217
4.2875,3484030963.83483,86558616.08705086
4.3125,3410900011.0911393,85301389.39149676
4.3375,3323908769.9363976,86620939.5370619
4.3625,3251442852.0165434,85511248.9618861
4.3875,3183124598.705925,85080721.66201626
4.4125,3113525433.1107173,83357844.65896475
4.4375,3046740523.0950227,82291125.30820668
4.4625,2937438801.332464,86203022.02182403
4.4875,2842849242.2675104,82774168.47830158
4.5125,2749042398.402908,78796225.75388171
4.5375,2652516806.6681585,77970408.75641978
4.5625,2575710051.6039762,74073124.9718961
4.5875,2511598749.033174,72830013.89633492
4.6125,2429475808.3683114,72069458.89861779
4.6375,2366653873.701656,70736140.0680162
4.6625,2308951880.975317,70726574.65017828
4.6875,2260471726.597108,68969136.77002023
4.7125,2214203020.2503405,69031959.84530282
4.7375,2164771884.533983,67270032.26812264
4.7625,2118490001.8014834,65498573.55039983
4.7875,2066446285.6743348,65916802.14558643
4.8125,2022003579.7045407,65044552.9578867
4.8375,1978433236.478368,62619299.9134412
4.8625,1939018944.3426433,61027031.36952294
4.8875,1895937618.0113013,58181231.77047934
4.9125,1847565495.0622191,56762308.73397223
4.9375,1789198647.2717414,55982865.42747943
4.9625,1751742297.7472477,54332954.75293569
4.9875,1715515512.8415024,53709060.31362735
5.0125,1680057271.1582108,53513546.17664226
5.0375,1645807352.0286415,52317216.2555671
5.0625,1610022870.6951303,51175367.20175019
5.0875,1574633076.664475,49681953.64303829
5.1125,1539758424.8349621,52290948.16819602
5.1375,1504462357.5099165,50444201.0292768
5.1625,1467776957.913655,46881166.84257323
5.1875,1423569062.355665,44939881.31961992
5.2125,1376947680.6211991,42127720.84015533
5.2375,1342947771.277133,42257119.60260498
5.2625,1303646138.69133,40556900.256889835
5.2875,1270109040.0439193,39928097.67649335
5.3125,1233252140.018096,38502387.059095055
5.3375,1197013120.3908727,36634351.56734345
5.3625,1163022478.3505301,34606673.39931146
5.3875,1131727050.179181,32032555.044240247
5.4125,1102135024.8892155,33524215.022469338
5.4375,1077508877.800538,32427645.850334805
5.4625,1051670757.6535385,29700582.588818498
5.4875,1028499004.7839727,32631621.220857788
5.5125,1003511844.9146096,31267976.78826658
5.5375,980320934.5011107,28829874.251014207
5.5625,954343992.1631709,27850258.140420526
5.5875,929778252.6290251,26978615.536654584
5.6125,901082566.5692401,25999263.90411968
5.6375,872741956.3804816,25987072.840715487
5.6625,852006251.6034176,25314213.882545043
5.6875,832328283.2997856,24972334.60812168
5.7125,808502642.0903167,25466748.588881217
5.7375,778799456.1697422,24025535.227033116
5.7625,757418559.9651546,23596557.00315251
5.7875,737222412.9042807,21846005.362619396
5.8125,716480739.4139187,20864173.234252438
5.8375,697745712.3503289,20306147.684681643
5.8625,678543919.8767663,18363222.115671866
5.8875,661037136.8895409,17856454.177690864
5.9125,641698329.5013689,17425303.526307117
5.9375,618644760.3354666,17475328.557360604
