E_MeV,phi_25m_1_per_MeV_cm2_s
5.9125,44262688705.04 
5.9375,42672513215.07 
5.9625,41610520866.51 
5.9875,40622662850.22 
6.0125,39470640907.46 
6.0375,38042541196.66 
6.0625,36739611624.38 
6.0875,35636729769.05 
6.1125,34505389097.42 
6.1375,33676514031.16 
6.1625,32819930977.43 
6.1875,32005514373.61 
6.2125,31029898625.25 
6.2375,29684615086.61 
6.2625,28918979513.43 
6.2875,28128096653.12 
6.3125,27399684907.20 
6.3375,26674165883.87 
6.3625,25956708684.82 
6.3875,25156566651.43 
6.4125,23905357234.59 
6.4375,23311635472.94 
6.4625,22704849795.12 
6.4875,22089250987.29 
6.5125,21510300438.05 
6.5375,20943412222.96 
6.5625,20374106562.23 
6.5875,19636229623.12 
6.6125,19006676463.06 
6.6375,18480329466.31 
6.6625,17912716232.13 
6.6875,17363407865.32 
6.7125,16805037637.37 
6.7375,16299852453.66 
6.7625,15777429348.28 
6.7875,15217798811.40 
6.8125,14677224190.10 
6.8375,13872023333.00 
6.8625,13422651285.19 
6.8875,13003645122.67 
6.9125,12583435993.49 
6.9375,12075521443.96 
6.9625,11544525479.52 
6.9875,11110446280.36 
7.0125,10736245733.00 
7.0375,10348789017.43 
7.0625,9990050364.89 
7.0875,9645335954.03 
7.1125,8406477681.02 
7.1375,8009261473.49 
7.1625,7757942071.58 
7.1875,7509057102.45 
7.2125,7246676161.51 
7.2375,6915721027.60 
7.2625,6689602062.32 
7.2875,6461695848.78 
7.3125,6246297654.79 
7.3375,5819585458.03 
7.3625,5593871803.93 
7.3875,5335429461.91 
7.4125,5068323082.63 
7.4375,4906441720.62 
7.4625,4723329752.98 
7.4875,4519437276.41 
7.5125,4350845806.16 
7.5375,4203996047.86 
7.5625,4068301543.89 
7.5875,3934652762.35 
7.6125,3803483542.47 
7.6375,3650183742.93 
7.6625,3510137121.44 
7.6875,3385551111.92 
7.7125,3268178052.30 
7.7375,3149589936.66 
7.7625,3033749275.58 
7.7875,2918176307.11 
7.8125,2797224783.17 
7.8375,2683006883.33 
7.8625,2562031929.37 
7.8875,2418681560.88 
7.9125,2317383587.27 
7.9375,2221006493.56 
7.9625,2126244590.80 
7.9875,2022121836.41 
8.0125,1909414831.76 
8.0375,1819201001.22 
8.0625,1738039088.48 
8.0875,1537645229.14 
8.1125,1017551187.26 
8.1375,970744399.14 
8.1625,931397899.51 
8.1875,892766764.16 
8.2125,846243281.34 
8.2375,801091196.16 
8.2625,773503296.48 
8.2875,748562175.26 
8.3125,722329214.50 
8.3375,693961956.98 
8.3625,669095093.60 
8.3875,644431228.71 
8.4125,621063729.12 
8.4375,591175971.68 
8.4625,563223258.08 
8.4875,541771314.84 
8.5125,521017450.70 
8.5375,499455910.49 
8.5625,474854537.88 
8.5875,456250530.75 
8.6125,438125069.22 
8.6375,412967554.88 
8.6625,393489885.15 
